session_code,group_id,chat_id,From,To,body,timestamp,nickname,participant_code,channel
splv0pa2,11,11,Green,Blue,2 in più?,1778077039.8438168,LeftPartner,2g8ikea0,6-bargaining_tdl_main-11_2_3
splv0pa2,11,12,Green,Red,ehi red,1778077045.634677,RightPartner,2g8ikea0,6-bargaining_tdl_main-11_1_2
splv0pa2,11,13,Green,Red,che vuoi fare?,1778077048.378811,RightPartner,2g8ikea0,6-bargaining_tdl_main-11_1_2
splv0pa2,11,14,Red,Green,ok ok,1778077053.9927,LeftPartner,004uob5s,6-bargaining_tdl_main-11_1_2
y1ycsbji,9,1,Green,Red,we,1777991579.4786673,RightPartner,jnkcelh9,5-bargaining_tdl_main-9_1_2
y1ycsbji,9,2,Green,Red,ew,1777991580.5031395,RightPartner,jnkcelh9,5-bargaining_tdl_main-9_1_2
ydcii5mf,26,1,Blue,Red,sno il blu e ,1778769072.3486538,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,2,Blue,Red,lasciero,1778769076.0766735,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,3,Blue,Red,la chat,1778769078.6115112,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,4,Red,Blue,ok cazzo mene,1778769101.3415327,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,5,Red,Blue,fai quello che credi,1778769107.671523,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,6,Red,Green,c m fa?,1778769114.797361,LeftPartner,frsokvko,13-bargaining_tdl_main-26_1_2
ydcii5mf,26,7,Green,Red,c we fa?,1778769130.319341,RightPartner,vjee2hk6,13-bargaining_tdl_main-26_1_2
ydcii5mf,26,8,Green,Blue,che ti fraga a te?,1778769137.9922295,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,9,Blue,Green,io lascio appena scade,1778769146.2922037,RightPartner,nhtas8ou,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,10,Blue,Green,me ne fotto,1778769149.3358285,RightPartner,nhtas8ou,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,11,Green,Blue,dai oh,1778769155.8054142,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,12,Green,Blue,stai al gioco,1778769159.9691918,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,13,Green,Blue,c caz,1778769162.89137,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,14,Blue,Red,il green mi dice di restare,1778769175.3553874,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,15,Blue,Red,che ne pensi?,1778769178.3672116,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,16,Blue,Red,lo fottiamo?,1778769182.605353,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,17,Red,Blue,eh eh tu c disc?,1778769194.8950062,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,18,Red,Blue,6-6?,1778769198.3561437,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,19,Blue,Red,essi dai,1778769204.844069,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,20,Blue,Red,mo gli dico che sfanculo,1778769211.34506,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,21,Blue,Red,e poi scelgo comunqueeeeee,1778769220.0883908,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,22,Blue,Green,wa fa l bkkin,1778769226.7877414,RightPartner,nhtas8ou,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,23,Red,Green,equal split bro,1778769244.3767197,LeftPartner,frsokvko,13-bargaining_tdl_main-26_1_2
ydcii5mf,26,24,Green,Red,ok allora vado per equal split,1778769257.511443,RightPartner,vjee2hk6,13-bargaining_tdl_main-26_1_2
ydcii5mf,26,25,Green,Red,mi sembra più giusto,1778769263.812981,RightPartner,vjee2hk6,13-bargaining_tdl_main-26_1_2
ydcii5mf,26,26,Green,Blue,io farò equal split,1778769286.9850147,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,27,Green,Blue,ho accordo con il rosso,1778769299.0554798,LeftPartner,vjee2hk6,13-bargaining_tdl_main-26_2_3
ydcii5mf,26,28,Red,Blue,vai famo 6-6,1778769337.124209,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,29,Red,Blue,stratop,1778769345.7453818,RightPartner,frsokvko,13-bargaining_tdl_main-26_1_3
ydcii5mf,26,30,Blue,Red,oooooookkkkk,1778769354.6951542,LeftPartner,nhtas8ou,13-bargaining_tdl_main-26_1_3
